MANDT,WERKS,MATNR,BERID,LGORT,MAKTX,MEINS,MMSTA,MSTAE,DISGR,EISBE,MINBE,DISLS,BSTMI,DISMM,MATKL,WGBEZ,ENDSTOCK,ENDVAL,CLASF,ENMNG,STOCK,PRECIO_UNITARIO,CONSMX1,CONSMX2,CONSMX3,CONSMX4,CONSMX5,CONSMX6,ZCOBACT,ZRANCOB,ZSTOOPT,ZSTOOPTVAL,ZSTOOPTCOBD,ZRANCOB_SO,ZSIM01,ZSIM02,ZSIM03,ZSIM04,ZSIM05,ZSIM06,ZSIMV01,ZSIMV02,ZSIMV03,ZSIMV04,ZSIMV05,ZSIMV06,ZRANCOBCOR,ZRIESVAL,MABST,BSTMA,BSTFE,BSTRF
600,TAST,000000000030000430                      ,TAST-PLANI,L001,ACEITE SHELL ROTELLA DD-40 A:226888,GLL,,Z7,ART,0,0,,0,ND,COM-LUB01,ACEITES,0,0,UIN,0,0,26.46,0,0,0,0,0,0,0,[00 - 30],0,0,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],0,0,0,0,55
600,TAST,000000000030000436                      ,TAST-PLANI,L001,ACEITE SHELL TELLUS S2 M68 HIDR.A:226906,GLL,,Z7,ART,0,0,,0,ND,COM-LUB01,ACEITES,0,0,UIN,0,0,18.82,0,0,0,0,0,0,0,[00 - 30],0,0,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],0,0,0,0,55
600,TAST,000000000030000442                      ,TAST-PLANI,L001,ACEITE SULLAIR SULLUBE 32,GLL,,,BRT,0,0,,0,ND,COM-LUB01,ACEITES,17,2103.51,UIN,34,0,424.41,0,0,0,0,0,0,0,[00 - 30],0,0,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],2103.51,0,0,0,0
600,TAST,000000000030000473                      ,TAST-PLANI,L001,GRASA MOBIL M-MOBILUX EP 2 BALDE X 35LB,ST,,,BRT,12,17,EX,30,Z2,COM-LUB02,GRASAS,0,0,UIN,0,0,150.63,1,0,0,0,0,0,0,[00 - 30],27,4067.01,4850.299,[60 - 90],0.006,0.167,0.167,0.334,0.334,0.501,0.904,25.155,25.155,50.31,50.31,75.466,[60 - 90],-4067.01,0,0,0,1
600,TAST,000000000030000474                      ,TAST-PLANI,L001,GRASA MOBIL M-MOBILUX EP 3 BALDE 35LB,ST,,,ART,0,0,,0,ND,COM-LUB02,GRASAS,0,0,UIN,0,0,152,0,0,0,0,0,0,0,[00 - 30],0,0,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],0,0,0,0,0
600,TAST,000000000030000475                      ,TAST-PLANI,L001,GRASA SHELL GADUS S2 V100 3 18K A:226930,ST,,,BRT,0,0,,0,ND,COM-LUB02,GRASAS,0,0,UIN,0,0,1443.71,0,0,0,0,0,0,0,[00 - 30],0,0,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],0,0,0,0,0
600,TAST,000000000030000512                      ,TAST-PLANI,L001,MOLYKOTE 1000 P.ALTA TEMPERATURA X 01 LB,LB,,,BRT,1,2,EX,2.5,Z2,COM-LUB02,GRASAS,0,0,UIN,0,0,170.85,1,0,0,0,0,0,0,[00 - 30],2.25,384.413,404.192,[60 - 90],0.006,0.167,0.167,0.334,0.334,0.501,1.025,28.532,28.532,57.064,57.064,85.596,[60 - 90],-384.413,0,0,0,0
600,TAST,000000000030000527                      ,TAST-PLANI,L001,PETROLEO DIESEL B5 S50 PD - TASA,GLL,,,PRD,0,0,,0,ND,COM-COM01,PETROLEO,0,0,UIN,0,0,0,0,0,0,0,0,0,0,[00 - 30],0,0,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],0,0,0,0,0
600,TAST,000000000030000532                      ,TAST-PLANI,L001,ACEITE MOBIL NUTO H 68 CIL X 55 GLN,GLL,,,BRT,55,110,,55,ND,COM-LUB01,ACEITES,0,0,UIN,0,0,17.87,0,0,0,0,0,0,0,[00 - 30],82.5,1474.275,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],-1474.275,0,0,0,55
600,TAST,000000000030000533                      ,TAST-PLANI,L001,PETROLEO DIESEL B5 PD,GLL,,,PRD,60,90,EX,440,Z2,COM-COM01,PETROLEO,332,1076.34,UIN,0,332,11.12,375,120,120,0,0,0,97.171,[Excedido],280,3113.6,81.951,[60 - 90],3.417,102.5,102.5,205,205,307.5,37.997,1139.8,1139.8,2279.6,2279.6,3419.4,[60 - 90],-2037.26,0,0,0,0
600,TAST,000000000031003986                      ,TAST-PLANI,L001,OXIGENO INDUSTRIAL,M3,,,ART,1600,2000,EX,7000,Z2,AUX-CON02,GASES INDUSTRIALES,388.258,313.54,UIN,780.203,0,2.77,1530,160,30,0,0,0,0,[00 - 30],5100,14127,533.72,[60 - 90],9.556,286.667,286.667,573.334,573.334,860.001,26.47,794.068,794.068,1588.135,1588.135,2382.203,[60 - 90],-13813.46,0,0,0,20
600,TAST,000000000031008131                      ,TAST-PLANI,L001,"ABRAZADERA PERNO INDUST. T-511-2.1/2""",ST,,,BRT,0,0,,0,ND,AUX-FER11,"SUJETADORE, ABRAZ, C",2,5.97,UIN,0,2,10.23,0,0,0,0,0,0,0,[00 - 30],0,0,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],5.97,0,0,0,0
600,TAST,000000000031008147                      ,TAST-PLANI,L001,"ABRAZADERA REGULABLE FEG 1""",ST,,,ART,0,0,,0,ND,AUX-FER11,"SUJETADORE, ABRAZ, C",0,0,UIN,0,0,2.02,0,0,0,0,0,0,0,[00 - 30],0,0,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],0,0,0,0,0
600,TAST,000000000031008158                      ,TAST-PLANI,L001,"ABRAZADERA REGULABLE INOX 1""",ST,,,BRT,5,0,,5,ND,AUX-FER11,"SUJETADORE, ABRAZ, C",1,0.74,UIN,0,1,2.55,0,0,0,0,0,0,0,[00 - 30],7.5,19.125,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],-18.385,0,0,0,2
600,TAST,000000000031008162                      ,TAST-PLANI,L001,"ABRAZADERA REGULABLE INOX 2""",ST,,,ART,0,0,,0,ND,AUX-FER11,"SUJETADORE, ABRAZ, C",0,0,UIN,0,0,2.02,0,0,0,0,0,0,0,[00 - 30],0,0,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],0,0,0,0,0
600,TAST,000000000031008164                      ,TAST-PLANI,L001,"ABRAZADERA REGULABLE INOX 3""",ST,,,BRT,0,0,,0,ND,AUX-FER11,"SUJETADORE, ABRAZ, C",4,4.29,UIN,0,4,3.68,0,0,0,0,0,0,0,[00 - 30],0,0,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],4.29,0,0,0,0
600,TAST,000000000031008166                      ,TAST-PLANI,L001,"ABRAZADERA REGULABLE INOX 3/4""",ST,,,BRT,0,0,,0,ND,AUX-FER11,"SUJETADORE, ABRAZ, C",0,0,UIN,0,0,2.02,0,0,0,0,0,0,0,[00 - 30],0,0,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],0,0,0,0,0
