MANDT,BANFN,BNFPO,MATNR,MAKTX,MENGE,MEINS,BADAT,LFDAT,AFNAM,ERNAM,BLCKD,USERNAMEB,UDATEB,LOEKZ,USERNAMEL,UDATEL,FRGKZ,UDATEF,UTIMEF,FRGCX,FRGCT,OBJID,BUKRS,BUTXT,BSART,BATXT,EBELN,LIFNR,NAMEL,BEDAT,WAERS,FRGZU,UDATEHES,USRNAMEHES,EBELP,PSTYP,WERKS,MENGE_P,WEMNG,NETPR,RLWRT,NETWR,EINDT,BELNR,GJAHR,BUZEI,TXZ01,AENAM,ERDAT,BUDAT,BPMNG,WRBTR_EK,KNTTP,IMP_HES,IMP_HES2,UDATE,USERNAME,BELNR_AN,GJAHR_AN,BUDAT_AN,WRBTR_AN,BELNR_RS,GJAHR_RS,BUKRS_RS,BELNR_BK,BLART_BK,XBLNR_BK,CPUDT_BK,BUDAT_BK,BKTXT_BK,ZTERM,ZLSCH,ZFBDT,ZFBDF,AUGBL,AUGCP,AUGDT,WRBTR,PSWSL,DMBTR,KIDNO,KOSTL,TIP_REG
600,0016921401,00020,000000000033031382,,1,UN,2020-05-29T00:00:00.000Z,2020-05-29T00:00:00.000Z,TMP1,FTRUJILLO,,,,,,,3,2020-05-29T00:00:00.000Z,191114,SN,TCNO_Cal Proy y Mant,NHUAMAN,TA10,Tecnológica de Alimentos,NB,Pedido estándar,5010020640,2012297688,GENIO COMERCIAL S.A.,2020-06-01T00:00:00.000Z,USD,XX,2020-06-04T00:00:00.000Z,JOLIVARES,00020,0,TCNO,1,0,4.5,91.29,4.5,2020-05-29T00:00:00.000Z,,0000,000,CONECTOR P/ELECTRODO IGNICION RECTO,,,,0,0,,,,,,,0000,,0,,0000,,,,,,,,,,,,,,,0,,0,,,MM
600,0016921401,00030,000000000034002605,,1,UN,2020-05-29T00:00:00.000Z,2020-05-29T00:00:00.000Z,TMP1,FTRUJILLO,,,,,,,3,2020-05-29T00:00:00.000Z,191115,SN,TCNO_Cal Proy y Mant,NHUAMAN,TA10,Tecnológica de Alimentos,NB,Pedido estándar,5010020640,2012297688,GENIO COMERCIAL S.A.,2020-06-01T00:00:00.000Z,USD,XX,2020-06-04T00:00:00.000Z,JOLIVARES,00030,0,TCNO,1,0,81.29,91.29,81.29,2020-05-29T00:00:00.000Z,,0000,000,"ELECTRODO ENCEND. Ø9/16"" LONG.LOZA 21",,,,0,0,,,,,,,0000,,0,,0000,,,,,,,,,,,,,,,0,,0,,,MM
600,0016704547,00020,000000000033036255,,1,UN,2020-05-29T00:00:00.000Z,2020-05-20T00:00:00.000Z,TMF1,FTRUJILLO,,,,,,,3,2020-05-30T00:00:00.000Z,095527,SA,Flota Control Mantto,JURAMOS,TA10,Tecnológica de Alimentos,NB,Pedido estándar,5010020712,2010002869,FERREYROS SOCIEDAD ANÓNIMA,2020-06-01T00:00:00.000Z,USD,XX,2020-06-02T00:00:00.000Z,EBUENANO,00010,0,TCNO,1,1,3571.71,3571.71,3571.71,2020-06-11T00:00:00.000Z,,0000,000,PUMP G AUX 3N-4851,,,,0,0,,,,,,5000069598,2020,2020-06-12T00:00:00.000Z,3571.71,5105612603,2020,TA10,0035029153,01,01-0F013-0181995,2020-06-15T00:00:00.000Z,2020-06-14T00:00:00.000Z,PUMP G AUX 3N-4851,Z045,,2020-06-14T00:00:00.000Z,2020-07-29T00:00:00.000Z,,,,4214.62,USD,14485.65,CSN1313000171423,,MM
600,0016920996,00010,000000000033042380,,2,UN,2020-05-28T00:00:00.000Z,2020-05-28T00:00:00.000Z,T021,DMONTES,,,,,,,3,2020-05-29T00:00:00.000Z,195504,SV,TVEG_Veg Proyecto,JRIVERA,TA10,Tecnológica de Alimentos,ZDES,Pedido de Cont.Marco,5060004928,2010024471,TECNIFAJAS S.A.,2020-06-01T00:00:00.000Z,USD,X,2020-06-04T00:00:00.000Z,MSILVA,00080,0,TVEG,2,0,2.17,1460.45,4.34,2020-06-05T00:00:00.000Z,,0000,000,FAJA V A-33,,,,0,0,,,,,,,0000,,0,,0000,,,,,,,,,,,,,,,0,,0,,,MM
600,0016921263,00010,000000000033037196,,2,UN,2020-05-28T00:00:00.000Z,2020-05-29T00:00:00.000Z,TMV1,DMONTES,,,,,,,3,2020-05-29T00:00:00.000Z,195520,SV,TVEG_Veg Man Planif,JRIVERA,TA10,Tecnológica de Alimentos,ZDES,Pedido de Cont.Marco,5060004928,2010024471,TECNIFAJAS S.A.,2020-06-01T00:00:00.000Z,USD,X,2020-06-04T00:00:00.000Z,MSILVA,00090,0,TVEG,2,1,178.62,1460.45,357.24,2020-06-05T00:00:00.000Z,,0000,000,RODAMIENTO 22222 CCK/W33 (EK/C3),,,,0,0,,,,,,5000069938,2020,2020-06-12T00:00:00.000Z,178.62,5105616090,2020,TA10,0035031979,01,01-0FL02-0093805,2020-07-01T00:00:00.000Z,2020-07-01T00:00:00.000Z,CHUMACERA PARED FY 513 M,Z090,,2020-07-01T00:00:00.000Z,2020-09-29T00:00:00.000Z,,,,1507.44,USD,5303.17,CSN1313000173486,,MM
600,0016921263,00020,000000000033035306,,2,UN,2020-05-28T00:00:00.000Z,2020-05-29T00:00:00.000Z,TMV1,DMONTES,,,,,,,3,2020-05-29T00:00:00.000Z,195517,SV,TVEG_Veg Man Planif,JRIVERA,TA10,Tecnológica de Alimentos,ZDES,Pedido de Cont.Marco,5060004928,2010024471,TECNIFAJAS S.A.,2020-06-01T00:00:00.000Z,USD,X,2020-06-04T00:00:00.000Z,MSILVA,00200,0,TVEG,2,2,13.53,1460.45,27.06,2020-05-29T00:00:00.000Z,,0000,000,OBTURADOR TSN 522 L,,,,0,0,,,,,,5000069932,2020,2020-06-12T00:00:00.000Z,27.06,5105616090,2020,TA10,0035031979,01,01-0FL02-0093805,2020-07-01T00:00:00.000Z,2020-07-01T00:00:00.000Z,CHUMACERA PARED FY 513 M,Z090,,2020-07-01T00:00:00.000Z,2020-09-29T00:00:00.000Z,,,,1507.44,USD,5303.17,CSN1313000173486,,MM
600,0070015796,00010,000000000033032137,,1,UN,2020-05-28T00:00:00.000Z,2020-06-11T00:00:00.000Z,T631,T631,,,,,,,3,2020-05-31T00:00:00.000Z,113034,LC,TMSU_Mal PlanMatPlan,ACASTANEDA,TA10,Tecnológica de Alimentos,ZDES,Pedido de Cont.Marco,5060004939,2038665995,DUCASSE COMERCIAL S.A.,2020-06-01T00:00:00.000Z,PEN,X,2020-06-04T00:00:00.000Z,MSILVA,00010,0,TMSU,1,1,201.72,201.72,201.72,2020-06-05T00:00:00.000Z,,0000,000,ELEMENTO FLEXIBLE P/ACOPLE OMEGA E3,,,,0,0,,,,,,5000064827,2020,2020-06-04T00:00:00.000Z,201.72,5105614256,2020,TA10,0035030275,01,01-0F001-0006354,2020-06-22T00:00:00.000Z,2020-06-22T00:00:00.000Z,ELEMENTO FLEXIBLE P/ACOPL,Z060,,2020-06-22T00:00:00.000Z,2020-08-21T00:00:00.000Z,0056005003,2020-06-23T00:00:00.000Z,2020-06-23T00:00:00.000Z,238.03,PEN,238.03,CSN1313000171136,,MM
600,0016921258,00010,000000000032005268,,17,UN,2020-05-28T00:00:00.000Z,2020-06-05T00:00:00.000Z,T050,FTRUJILLO,,,,,,,3,2020-05-28T00:00:00.000Z,201836,JN,Pesca Op Bahía Norte,EOCHARAN,TA10,Tecnológica de Alimentos,ZDES,Pedido de Cont.Marco,5060004926,2010004713,UNION YCHICAWA S A,2020-06-01T00:00:00.000Z,PEN,X,2020-06-04T00:00:00.000Z,MSILVA,00030,0,TCNO,17,17,1.5,84.4,25.5,2020-06-05T00:00:00.000Z,,0000,000,TENEDOR MESA 510-2  HOTEL 995100200/739,,,,0,0,,,,,,5000073088,2020,2020-06-17T00:00:00.000Z,25.5,5105616540,2020,TA10,0035032324,01,01-0F050-0020430,2020-07-02T00:00:00.000Z,2020-07-02T00:00:00.000Z,"CUCHILLO CARNICERO 12"" M/",Z060,,2020-07-02T00:00:00.000Z,2020-08-31T00:00:00.000Z,,,,99.59,PEN,99.59,CSN1313000173420,,MM
600,0016915108,01950,000000000032005542,,80,TS,2020-05-27T00:00:00.000Z,2020-05-27T00:00:00.000Z,T621,VMONTOYA,,,,,,,3,2020-05-28T00:00:00.000Z,121857,ZM,TMSU_Mal  PlanMat JA,EMURGUEYTI,TA10,Tecnológica de Alimentos,NB,Pedido estándar,5010020728,2053732119,DIMERC PERU S.A.C.,2020-06-01T00:00:00.000Z,PEN,XX,2020-06-03T00:00:00.000Z,JLAGHI,00970,0,TMSU,80,80,9.2,5591.55,736,2020-06-05T00:00:00.000Z,,0000,000,PAPEL BOND 75 GRS A-4,,,,0,0,,,,,,5000069801,2020,2020-06-12T00:00:00.000Z,736,,0000,,,,,,,,,,,,,,,0,,0,,,MM
600,0016915049,00020,000000000033032528,,6,UN,2020-05-27T00:00:00.000Z,2020-06-05T00:00:00.000Z,T621,FTRUJILLO,,,,,,,3,2020-05-27T00:00:00.000Z,150240,ZN,TCNO_Cal PlanMat JAb,BPEREZPALM,TA10,Tecnológica de Alimentos,ZDES,Pedido de Cont.Marco,5060004928,2010024471,TECNIFAJAS S.A.,2020-06-01T00:00:00.000Z,USD,X,2020-06-04T00:00:00.000Z,MSILVA,00070,0,TCNO,6,6,19.44,1460.45,116.64,2020-06-05T00:00:00.000Z,,0000,000,FAJA DENTADA XPB-3350,,,,0,0,,,,,,5000070021,2020,2020-06-12T00:00:00.000Z,116.64,5105616090,2020,TA10,0035031979,01,01-0FL02-0093805,2020-07-01T00:00:00.000Z,2020-07-01T00:00:00.000Z,CHUMACERA PARED FY 513 M,Z090,,2020-07-01T00:00:00.000Z,2020-09-29T00:00:00.000Z,,,,1507.44,USD,5303.17,CSN1313000173486,,MM
