MANDT,BANFN,BNFPO,TIPO_SOLPED,LOEKZ_S,FRGKZ,BADAT,FECSUG,FRGDT,IDSOLPE,TXTPOS,LFDAT,PRIO_URGTX,ZZPRIO_URGTX,MENGE,MEINS,MATKL,WGBEZ60,ERNAM,AFNAM,NAME_TEXT,ZAFNAM,MTART,MTBEZ,MATNR,TXZ01,MFRPN,EKGRPT2,VALDOL,PUNITS,VALSOL,KNTTX,PSTYP,PTEXT,EBAKZ,BLCKD,BLCKT,LABSTX,KOSTL,NPLNR,PS_PSP_PNR,AUFNR,WERKS,NCENTRO,LGORT,NALMACE,FLIEF,NAME_F,LIFNR,NAME_D,BEDNR,MFRNR,NAME11,ABLAD,SWERK,KTEXM,AUTYM,COMENT_SP,EBELN,EBELP,LOEKZ_POC,IDEBELN,STATUSOC,BSART2,BATXT2,ERNAMOC,MENGP,MEINSOC,MENPEN,EKGRPT,EKGRP_RESP,LIFNR2,NAME1,BEDAT,FECLIB,FECHA,EINDT,VPEDIDOD,PUNITO,VPEDIDOS,LGORT2,ELIKZ,TEXREC,PROCSTAT,PROCSTAT_T,BUTTON2,KONNR,KTPNR,PRIO_URGTXX,TEXT1,LIFN2,INCO1,ZZPAIS_ORIG,ZZFECHA_EMBARQ,ZZFECHA_ARRIBO,ZZMEDIO_TRANSP,ZZDESC_TRANSP,ZZAGENTE_CARGA,ZZNUMERO_DOC_EMB,DMBTRF,WAERSF,LGORTT,CANT_REC,MENPENT,VRECD,VRECS,XBLNR,FECGRR,BUDAT,FECDES,VBELN,POSNR,XBLNR3,FECEI,LGORTF,CANT_REC2,MENPEN2,VRECD2,VRECS2,XBLNR2,FECGRR2,BUDAT2,MENCONS,FECCONS,LZVON,HES_S,MENPENS,TT1,TT3,PERIODO,SITUACION,DIASVENC,RSNUM,RSPOS,BDTER,ZZERDAT,ZZFECHALIB,XWAOK,DISGR,TEXT40,USNAM,UOMAX,BZTEK,PLIFZ,SUMBP,WEBAX,RSSTA,FLTIR,AUART,NAUART,KTEXT,AUTYP,FINNEC,FATENC,DIBER,BERID,ZZSISTE,ZZDSIST,ZZEQUIP,ZZDESEM,ZCATEGORIA,ZZEMBAR,ZZMETRI,ZZMEINS,DIASLIBRES,DIASGENSOLP,DIASLIBSOLP,DIASNECUSU,DIASGENOC,DIASLIBOC,DIASINGALMT,TT4,DIASINGALMF
600,0015033234,00040,COMPRAS,,L,20190916,20190916,20190930,,,20190916,Normal,Normal,550,M,AUX-AFT05,CABLES DE ACERO,MGOMEZ,T060,REDES_PESCA,,ZAUX,Suministros auxiliares,000000000031009149,"CABLE 6X24 (12/12) BALL. AF GALV. 5/8""",,T65,-1534.96,-2.79,5093,,0,Normal,,,,525,,,00000000,,TCHI,CHIMBOTE,L001,Combustible,,,,,,,,,,,00,,5010000675,00020,,,Descargado en PDF.,NB,Pedido estándar,JORDAN PEREY,550,M,0,T70,T70-Comp.JPereyra,2025965990,PROCABLES SA,20191001,20191004,20191007,20190916,1628,2.96,5510.78,L001,X,,05,Liberación concluida,@0O@,,00000,Normal,Plazo 30  días.,,,,,,,,,,5515.66,USD,L003,550,0,1628,5499.38,001-0081960,20191007,20191007,,,000000,,,,0,0,0,0,,,,0,,,0,0,    7,    3,1,P,  667,0000000000,0000,,,,,PRD,Produción,,,00,0,0,0,,,,,,00,20190930,20191002,,TCHI,,,0000000000000000000000000,,CTR - Solp,,  0.000,,,,   14,   14-,    1,    3,    3,,
600,0015033234,00050,COMPRAS,,L,20190916,20190916,20190930,,,20190916,Normal,Normal,90,KG,AUX-FER09,SOGAS Y DRIZAS,MGOMEZ,T060,REDES_PESCA,,ZAUX,Suministros auxiliares,000000000031009164,"CABO MIXTO 3FIB PE-PA-PES 3/4"" TORCIDO",,T65,-487.97,-5.42,1619.1,,0,Normal,,,,145,,,00000000,,TCHI,CHIMBOTE,L001,Combustible,,,,,,,,,,,00,,5010000680,00010,,,Descargado en PDF.,NB,Pedido estándar,JORDAN PEREY,90,KG,0,T70,T70-Comp.JPereyra,0000000770,FIBRAS INDUSTRIALES S A,20191001,20191004,20200409,20190916,450,5,1523.25,L001,X,,05,Liberación concluida,@0O@,,00000,Normal,Plazo 60  días,,,,,,,,,,1612.69,USD,,0,0,0,0,,,20191216,,,000000,,,L001,95.2,0,476,1605.55,010-0018635,20191009,20191216,0,,,0,0,   77,   73,1,C,,0000000000,0000,,,,,PRD,Produción,,,00,0,0,0,,,,,,00,20190930,20191002,,TCHI,,,0000000000000000000000000,,CTR - Solp,,  0.000,,,,   14,   14-,    1,    3,   73,,
600,0015033234,00060,COMPRAS,,L,20190916,20190916,20190930,,,20190916,Normal,Urgencia,130,KG,AUX-FER09,SOGAS Y DRIZAS,MGOMEZ,T060,REDES_PESCA,,ZAUX,Suministros auxiliares,000000000031009159,"CABO MIXTO 3FIB PE-PA-PES  7/8"" TORCIDO",,T65,-704.46,-5.42,2337.4,,0,Normal,,,,45.4,,,00000000,,TCHI,CHIMBOTE,L001,Combustible,,,,,,,,,,,00,,5010000680,00020,,,Descargado en PDF.,NB,Pedido estándar,JORDAN PEREY,130,KG,0,T70,T70-Comp.JPereyra,0000000770,FIBRAS INDUSTRIALES S A,20191001,20191004,20200409,20190916,650,5,2200.25,L001,X,,05,Liberación concluida,@0O@,,00000,Normal,Plazo 60  días,,,,,,,,,,2127.66,USD,,0,0,0,0,,,20191216,,,000000,,,L001,125.6,0,628,2118.24,010-0018635,20191009,20191216,0,,,0,0,   77,   73,1,C,,0000000000,0000,,,,,PRD,Produción,,,00,0,0,0,,,,,,00,20190930,20191002,,TCHI,,,0000000000000000000000000,,CTR - Solp,,  0.000,,,,   14,   14-,    1,    3,   73,,
600,0015033234,00070,COMPRAS,,L,20190916,20190916,20190930,,,20190916,Normal,Normal,640,KG,AUX-FER09,SOGAS Y DRIZAS,MGOMEZ,T060,REDES_PESCA,,ZAUX,Suministros auxiliares,000000000031009161,"CABO MIXTO 3FIB PE-PA-PES 1.1/2"" TORCIDO",,T65,-3894.39,-6.08,12921.6,,0,Normal,,,,949,,,00000000,,TCHI,CHIMBOTE,L001,Combustible,,,,,,,,,,,00,,5010000683,00010,,,Descargado en PDF.,NB,Pedido estándar,JORDAN PEREY,640,KG,0,T70,T70-Comp.JPereyra,0000000696,BADINOTTI PERU S.A.,20191001,20191004,20200409,20190916,3680,5.75,12456.8,L001,X,,05,Liberación concluida,@0O@,,00000,Normal,Plazo 60  días,,,,,,,,,,11753.22,USD,L003,606,0,3484.5,11805.49,102 0036014,20191009,20191009,,,000000,,,,0,0,0,0,,,,0,,,0,0,    9,    5,1,P,  667,0000000000,0000,,,,,PRD,Produción,,,00,0,0,0,,,,,,00,20190930,20191002,,TCHI,,,0000000000000000000000000,,CTR - Solp,,  0.000,,,,   14,   14-,    1,    3,    5,,
600,0015033234,00080,COMPRAS,,L,20190916,20190916,20190930,,,20190916,Normal,Normal,147,KG,AUX-FER09,SOGAS Y DRIZAS,MGOMEZ,T060,REDES_PESCA,,ZAUX,Suministros auxiliares,000000000031009162,"CABO MIXTO 3FIB PE-PA-PES 1.1/4"" TORCIDO",,T65,-890.51,-6.06,2954.7,,0,Normal,,,,600,,,00000000,,TCHI,CHIMBOTE,L001,Combustible,,,,,,,,,,,00,,5010000683,00020,,,Descargado en PDF.,NB,Pedido estándar,JORDAN PEREY,147,KG,0,T70,T70-Comp.JPereyra,0000000696,BADINOTTI PERU S.A.,20191001,20191004,20200409,20190916,845.25,5.75,2861.17,L001,X,,05,Liberación concluida,@0O@,,00000,Normal,Plazo 60  días,,,,,,,,,,2851.03,USD,L003,147,0,845.25,2863.71,102 0036014,20191009,20191009,,,000000,,,,0,0,0,0,,,,0,,,0,0,    9,    5,1,P,  667,0000000000,0000,,,,,PRD,Produción,,,00,0,0,0,,,,,,00,20190930,20191002,,TCHI,,,0000000000000000000000000,,CTR - Solp,,  0.000,,,,   14,   14-,    1,    3,    5,,
600,0015033234,00090,COMPRAS,,L,20190916,20190916,20190930,,,20190916,Normal,Normal,420,KG,AUX-FER09,SOGAS Y DRIZAS,MGOMEZ,T060,REDES_PESCA,,ZAUX,Suministros auxiliares,000000000031009161,"CABO MIXTO 3FIB PE-PA-PES 1.1/2"" TORCIDO",,T65,-2555.7,-6.09,8479.8,,0,Normal,,,,933,,,00000000,,TCNO,TASA CALLAO NORTE,L006,Redes,,,,,,,,,,,00,,5010000683,00030,,,Descargado en PDF.,NB,Pedido estándar,JORDAN PEREY,420,KG,0,T70,T70-Comp.JPereyra,0000000696,BADINOTTI PERU S.A.,20191001,20191004,20200409,20190916,2415,5.75,8174.78,L006,X,,05,Liberación concluida,@0O@,,00000,Normal,Plazo 60  días,,,,,,,,,,7835.48,USD,,0,0,0,0,,,20191009,,,000000,,,L006,404,0,2323,7870.32,102-0036013,20191009,20191009,0,,,0,0,    9,    5,1,C,,0000000000,0000,,,,,PRD,Produción,,,00,0,0,0,,,,,,00,20190930,20191002,,TCNO,,,0000000000000000000000000,,CTR - Solp,,  0.000,,,,   14,   14-,    1,    3,    5,,
600,0015033234,00100,COMPRAS,,L,20190916,20190916,20190930,,,20190916,Normal,Normal,180,KG,AUX-FER09,SOGAS Y DRIZAS,MGOMEZ,T060,REDES_PESCA,,ZAUX,Suministros auxiliares,000000000031009164,"CABO MIXTO 3FIB PE-PA-PES 3/4"" TORCIDO",,T65,-973.24,-5.41,3229.2,,0,Normal,,,,0,,,00000000,,TCNO,TASA CALLAO NORTE,L006,Redes,,,,,,,,,,,00,,5010000680,00030,,,Descargado en PDF.,NB,Pedido estándar,JORDAN PEREY,180,KG,0,T70,T70-Comp.JPereyra,0000000770,FIBRAS INDUSTRIALES S A,20191001,20191004,20200409,20190916,900,5,3046.5,L006,X,,05,Liberación concluida,@0O@,,00000,Normal,Plazo 60  días,,,,,,,,,,3018.18,USD,,0,0,0,0,,,20191011,,,000000,,,L006,179.6,0,898,3018.18,001-0103644,20191011,20191011,0,,,0,0,   11,    7,1,C,,0000000000,0000,,,,,PRD,Produción,,,00,0,0,0,,,,,,00,20190930,20191002,,TCNO,,,0000000000000000000000000,,CTR - Solp,,  0.000,,,,   14,   14-,    1,    3,    7,,
600,0015033772,00010,COMPRAS,,L,20190916,20190916,20190930,@0P@,Anillas tipo argolla,20190916,Normal,Normal,50,ST,AUX-HER05,HERRAM. ELEVACION,MGOMEZ,T060,REDES_PESCA,,ZAUX,Suministros auxiliares,000000000031008447,"ANILLA INOX.V 4"" X 3/4""",,T65,-917.72,-18.35,3045,,0,Normal,,,,30,,,00000000,,TCNO,TASA CALLAO NORTE,L006,Redes,,,,,,,,,,,00,,5010002487,00020,,@0P@,Descargado en PDF.,NB,Pedido estándar,MIRCO CAPRIS,50,ST,0,T67,T67-Comp.MCapristan,0000009265,INGENIEROS MECANICO METALURGIC,20191025,20191028,20191030,20191102,925,18.5,3098.75,L006,X,,05,Liberación concluida,@0O@,,00000,Normal,Plazo 60  días,,,,,,,,,,3120.03,USD,,0,0,0,0,,,20191031,,,000000,,,L006,50,0,925,3097.83,0001-002498,20191031,20191031,0,,,0,0,   31,    3,1,C,,0000000000,0000,,,,,ART,Alta Rotación,,,00,0,0,0,,,,,,00,20190930,20191002,,TCNO,,,0000000000000000000000000,,T01 - Está,,  0.000,,,,   14,   14-,   25,    3,    3,,
600,0015033772,00020,COMPRAS,,L,20190916,20190916,20190930,,,20190916,Normal,Normal,50,ST,AUX-HER05,HERRAM. ELEVACION,MGOMEZ,T060,REDES_PESCA,,ZAUX,Suministros auxiliares,000000000031008450,"ANILLA T/ESTRIBO  INOX. 3/4"" X 4""",,T65,-1487.34,-29.75,4935,,0,Normal,,,,14,,,00000000,,TCNO,TASA CALLAO NORTE,L006,Redes,,,,,,,,,,,00,,5010002487,00030,,@0P@,Descargado en PDF.,NB,Pedido estándar,MIRCO CAPRIS,50,ST,0,T67,T67-Comp.MCapristan,0000009265,INGENIEROS MECANICO METALURGIC,20191025,20191028,20191030,20191102,1500,30,5025,L006,X,,05,Liberación concluida,@0O@,,00000,Normal,Plazo 60  días,,,,,,,,,,5059.5,USD,,0,0,0,0,,,20191031,,,000000,,,L006,50,0,1500,5023.5,0001-002498,20191031,20191031,0,,,0,0,   31,    3,1,C,,0000000000,0000,,,,,ART,Alta Rotación,,,00,0,0,0,,,,,,00,20190930,20191002,,TCNO,,,0000000000000000000000000,,T01 - Está,,  0.000,,,,   14,   14-,   25,    3,    3,,
600,0015033785,00010,COMPRAS,,L,20190916,20190916,20190916,@0P@,SERVICIOS GENERALES PALMATEC COTIZACION 686-0329 presupuesto por intslacion y ma,20190920,Normal,Normal,1,UA,234,Serv. Mant. Maquinaria y equipos,JOGUZMAN,T001,ADMINISTRACION,,,,,INSTALACION DE EQUIPO TI ALMACEN TRANSIT,,T01,-316.46,-316.46,1050,Centro de coste,9,Servicio,,,,0,3013210004,,00000000,,TCNO,TASA CALLAO NORTE,,,2052063973,SERVICIOS GENERALES PALMATEC S.A.C.,2052063973,SERVICIOS GENERALES PALMATEC S.A.C.,,,,,,,00,,5010000740,00010,,@0P@,,NB,Pedido estándar,EHUAMAN,1,UA,0,T66,T66-Comp.CArroyo,2052063973,SERVICIOS GENERALES PALMATEC S,20191002,20191002,,20191007,-309.46,-309.46,1050,,,,05,Liberación concluida,@0O@,,00000,Normal,Plazo 30  días.,,,,,,,,,,1050,PEN,,0,0,0,0,,,20191002,,,000000,,,,1,0,-309.46,1050,686-0329,20191002,20191002,0,,20191002,0,0,   16,    0,1,C,,0000000000,0000,,,,,,,,,00,0,0,0,,,,,,00,20190916,20190920,,,,,0000000000000000000000000,,T02 - Regu,,  0.000,,,,    0,    4,   16,    0,    0,,
