BANFN,BNFPO,TIPO_SOLPED,FRGKZ,FRGDT,LFDAT,ERNAM,AFNAM,NAME_TEXT,ZAFNAM,TXZ01,VALDOL,PTEXT,BLCKD,BLCKT,KOSTL,PS_PSP_PNR,AUFNR,WERKS,NCENTRO,EBELN,EBELP,IDEBELN,STATUSOC,EKGRP_RESP,LIFNR2,NAME1,BEDAT,FECLIB,VPEDIDOD,PROCSTAT_T,LZVON,ZZEMBAR,DIASLIBRES,DIASGENSOLP,DIASLIBSOLP,DIASNECUSU,DIASGENOC,DIASLIBOC,ELIKZ,HES_S,LOEKZ_S
0015253336,00040,COMPRAS,L,20191006,20191009,MTENORIO,T042,CALIDAD_PESCA,CALIDAD PESCA,T 21DB(T4)CHI-CN-CO,354.19,Servicio,,,3023130006,00000000,,TCNO,TASA CALLAO NORTE,5010001312,00160,@0P@,,T79-Comp.GBerna,2051397312,SISMAGEN S.A.C.,20191011,20191022,357.04,Liberación concluida,20190823,,,,3,3,5,11,,100,
0015253336,00050,COMPRAS,L,20191006,20191009,MTENORIO,T042,CALIDAD_PESCA,CALIDAD PESCA,T 57DB(T6)CHI-CN-CO,590.32,Servicio,,,3023140008,00000000,,TCNO,TASA CALLAO NORTE,5010001312,00180,@0P@,,T79-Comp.GBerna,2051397312,SISMAGEN S.A.C.,20191011,20191022,595.06,Liberación concluida,20190826,,,,3,3,5,11,,100,
0015253382,00010,COMPRAS,L,20191005,20191015,SCORDERO,T050,OPBAHIA_PESCA,,T34-MANTENIMIENTO BOTELLA DE SCBA,36,Servicio,,,3023130005,00000000,000000900271,TCNO,TASA CALLAO NORTE,5010001192,00010,@0P@,Descargado en PDF.,T79-Comp.GBerna,2021399167,EQUIPOS SISTEMAS Y ACCESORIOS,20191010,20191104,36,Liberación concluida,20190925,,,,2,10,5,25,,100,
0015253382,00020,COMPRAS,L,20191005,20191015,SCORDERO,T050,OPBAHIA_PESCA,,T34-MANTENIMIENTO EQUIPO RESUCITADOR,28.5,Servicio,,,3023130005,00000000,000000900271,TCNO,TASA CALLAO NORTE,5010001192,00020,@0P@,Descargado en PDF.,T79-Comp.GBerna,2021399167,EQUIPOS SISTEMAS Y ACCESORIOS,20191010,20191104,28.5,Liberación concluida,20190925,,,,2,10,5,25,,100,
0015253382,00030,COMPRAS,L,20191005,20191015,SCORDERO,T050,OPBAHIA_PESCA,,T32-MANTENIMIENTO EXTINTORES,29.6,Servicio,,,3023130009,00000000,000000900302,TCNO,TASA CALLAO NORTE,5010001192,00030,@0P@,Descargado en PDF.,T79-Comp.GBerna,2021399167,EQUIPOS SISTEMAS Y ACCESORIOS,20191010,20191104,29.6,Liberación concluida,20190925,,,,2,10,5,25,,100,
0015253382,00040,COMPRAS,L,20191005,20191015,SCORDERO,T050,OPBAHIA_PESCA,,T34-MANTENIMIENTO EXTINTORES,59.6,Servicio,,,3023130005,00000000,000000900271,TCNO,TASA CALLAO NORTE,5010001192,00040,@0P@,Descargado en PDF.,T79-Comp.GBerna,2021399167,EQUIPOS SISTEMAS Y ACCESORIOS,20191010,20191104,59.6,Liberación concluida,20190925,,,,2,10,5,25,,100,
0015253382,00050,COMPRAS,L,20191005,20191015,SCORDERO,T050,OPBAHIA_PESCA,,R/M H4-MANTENIMIENTO EXTINTOR,224.2,Servicio,,,3023310003,00000000,,TCNO,TASA CALLAO NORTE,5010001192,00050,@0P@,Descargado en PDF.,T79-Comp.GBerna,2021399167,EQUIPOS SISTEMAS Y ACCESORIOS,20191010,20191104,224.2,Liberación concluida,20190925,,,,2,10,5,25,,100,
0015253382,00060,COMPRAS,L,20191005,20191015,SCORDERO,T050,OPBAHIA_PESCA,,T424-MANTENIMIENTO EXTINTOR,438.6,Servicio,,,3023130012,00000000,000000900309,TCNO,TASA CALLAO NORTE,5010001192,00060,@0P@,Descargado en PDF.,T79-Comp.GBerna,2021399167,EQUIPOS SISTEMAS Y ACCESORIOS,20191010,20191104,438.6,Liberación concluida,20190919,,,,2,10,5,25,,100,
0015253382,00070,COMPRAS,L,20191005,20191015,SCORDERO,T050,OPBAHIA_PESCA,,T36-MANTENIMIENTO PAQUETE EMERGENCIA,282,Servicio,,,3023130002,00000000,000000900300,TCNO,TASA CALLAO NORTE,5010001192,00070,@0P@,Descargado en PDF.,T79-Comp.GBerna,2021399167,EQUIPOS SISTEMAS Y ACCESORIOS,20191010,20191104,282,Liberación concluida,20190911,,,,2,10,5,25,,100,
0015253382,00080,COMPRAS,L,20191005,20191015,SCORDERO,T050,OPBAHIA_PESCA,,T210-MANTENIMIENTO BOTELLA SCBA,36,Servicio,,,3023130002,00000000,000000900300,TCNO,TASA CALLAO NORTE,5010001192,00080,@0P@,Descargado en PDF.,T79-Comp.GBerna,2021399167,EQUIPOS SISTEMAS Y ACCESORIOS,20191010,20191104,36,Liberación concluida,20190911,,,,2,10,5,25,,100,
