MANDT,NRMAR,CDEMB,CDEMP,CDMMA,FEARR,HEARR,OBMAR,ESMAR,FEMAR,HAMAR,AAMAR,FXMAR,HXMAR,AXMAR,FIMAR,HIMAR,FFMAR,HFMAR,CDPTA,ESCMA,FCBLO,HRBLO,USBLO,ESBLO,INUBC,ATCRE,FCCRE,HRCRE,ATMOD,FCMOD,HRMOD
600,226651,0000004315,0000038214,2,2025-07-08,21:08:00,,C,2025-07-08,00:07:00,TAWA_RADIOTC,2025-07-09,08:17:05,TASA_PORTAL,2025-07-08,00:07:00,2025-07-09,08:17:05,0015,T,0000-00-00,00:00:00,,,2,,0000-00-00,00:00:00,TAWA_RADIOTP,2025-07-09,00:45:09
600,226650,0000004964,2010097177,2,2025-07-08,14:30:00,,C,2025-07-08,00:05:00,TASA_PORTAL,2025-07-09,01:38:57,TAWA_RADIOTP,2025-07-08,00:04:00,2025-07-08,19:14:00,0015,T,0000-00-00,00:00:00,,,2,,0000-00-00,00:00:00,TAWA_RADIOTP,2025-07-09,01:38:21
600,226647,0000004485,0000000572,2,2025-07-08,15:30:00,,C,2025-07-08,00:02:00,TAWA_RADIOTC,2025-07-08,16:47:06,TASA_PORTAL,2025-07-08,00:02:00,2025-07-08,16:47:06,0012,T,0000-00-00,00:00:00,,,2,,0000-00-00,00:00:00,TAWA_RADIOTC,2025-07-08,15:31:40
600,226654,0000000012,2010097177,2,2025-07-09,03:45:00,,C,2025-07-08,00:16:00,TASA_PORTAL,2025-07-09,05:55:37,TAWA_RADIOTC,2025-07-08,00:15:00,2025-07-09,05:45:00,0012,T,0000-00-00,00:00:00,,,2,,0000-00-00,00:00:00,TAWA_RADIOTC,2025-07-09,05:55:20
600,226638,0000000015,2010097177,2,2025-07-10,14:24:00,,C,2025-07-07,22:17:00,TASA_PORTAL,2025-07-11,19:28:38,TAWA_RADIOTM,2025-07-07,22:16:00,2025-07-10,17:44:00,0005,T,0000-00-00,00:00:00,,,2,,0000-00-00,00:00:00,TAWA_RADIOTM,2025-07-10,19:27:47
600,226655,0000000065,2010097177,2,2025-07-08,18:50:00,,C,2025-07-08,00:21:00,TASA_PORTAL,2025-08-26,14:29:02,USANDOVAL,2025-07-08,00:20:00,2025-07-09,00:53:00,0158,T,0000-00-00,00:00:00,,,2,,0000-00-00,00:00:00,USANDOVAL,2025-08-26,14:28:54
600,226656,0000000062,2010097177,2,2025-07-08,18:00:00,,C,2025-07-08,00:23:00,TASA_PORTAL,2025-07-09,04:21:26,TAWA_RADIOTP,2025-07-08,00:22:00,2025-07-09,03:53:00,0015,T,0000-00-00,00:00:00,,,2,,0000-00-00,00:00:00,TAWA_RADIOTP,2025-07-09,04:21:02
600,226658,0000000019,2010097177,2,2025-07-08,18:00:00,,C,2025-07-08,00:29:00,TASA_PORTAL,2025-07-09,01:40:32,TAWA_RADIOTP,2025-07-08,00:28:00,2025-07-08,23:51:00,0015,T,0000-00-00,00:00:00,,,2,,0000-00-00,00:00:00,TAWA_RADIOTP,2025-07-09,01:39:47
600,226657,0000000061,2010097177,2,2025-07-08,17:50:00,,C,2025-07-08,00:28:00,TASA_PORTAL,2025-07-09,01:17:50,TAWA_RADIOTP,2025-07-08,00:28:00,2025-07-08,22:38:00,0015,T,0000-00-00,00:00:00,,,2,,0000-00-00,00:00:00,TAWA_RADIOTP,2025-07-09,01:17:19
600,226661,0000000046,2010097177,2,2025-07-08,15:40:00,,C,2025-07-08,00:56:00,TASA_PORTAL,2025-07-09,22:03:28,TAWA_RADIOTM,2025-07-08,00:55:00,2025-07-08,20:58:00,0005,T,0000-00-00,00:00:00,,,2,,0000-00-00,00:00:00,TAWA_RADIOTM,2025-07-08,22:02:34
600,226659,0000000072,2010097177,2,2025-07-09,18:15:00,,C,2025-07-08,00:50:00,TASA_PORTAL,2025-07-10,23:37:25,TAWA_RADIOTM,2025-07-08,00:49:00,2025-07-09,21:11:00,0005,T,0000-00-00,00:00:00,,,2,,0000-00-00,00:00:00,TAWA_RADIOTM,2025-07-09,23:35:38
600,226660,0000000069,2010097177,2,2025-07-08,16:30:00,,C,2025-07-08,00:54:00,TASA_PORTAL,2025-07-09,23:30:32,TAWA_RADIOTP,2025-07-08,00:53:00,2025-07-08,22:06:00,0015,T,0000-00-00,00:00:00,,,2,,0000-00-00,00:00:00,TAWA_RADIOTP,2025-07-08,23:07:22
600,226662,0000000041,2010097177,2,2025-07-08,20:40:00,,C,2025-07-08,01:04:00,TASA_PORTAL,2025-07-09,07:19:01,FCARRILLO,2025-07-08,01:03:00,2025-07-09,06:47:00,0015,T,0000-00-00,00:00:00,,,2,,0000-00-00,00:00:00,FCARRILLO,2025-07-09,07:18:35
600,226663,0000000022,2010097177,2,2025-07-09,12:00:00,,C,2025-07-08,01:19:00,TASA_PORTAL,2025-07-09,17:59:13,TAWA_RADIOTP,2025-07-08,01:18:00,2025-07-09,17:26:00,0015,T,0000-00-00,00:00:00,,,2,,0000-00-00,00:00:00,TAWA_RADIOTP,2025-07-09,17:58:34
600,226675,0000000228,2010097177,2,2025-07-09,04:30:00,,C,2025-07-08,02:14:00,TASA_PORTAL,2025-07-09,08:01:50,TAWA_RADIOTC,2025-07-08,02:13:00,2025-07-09,07:52:00,0012,T,0000-00-00,00:00:00,,,2,,0000-00-00,00:00:00,TAWA_RADIOTC,2025-07-09,08:01:20
600,226677,0000000216,2010097177,2,2025-07-08,18:10:00,,C,2025-07-08,03:12:00,TASA_PORTAL,2025-07-09,06:02:40,FCARRILLO,2025-07-08,03:11:00,2025-07-09,05:59:00,0015,T,0000-00-00,00:00:00,,,2,,0000-00-00,00:00:00,FCARRILLO,2025-07-09,06:02:22
600,226681,0000000045,2010097177,2,2025-07-09,17:20:00,,C,2025-07-08,17:25:00,TASA_PORTAL,2025-07-10,23:05:00,TAWA_RADIOTM,2025-07-08,17:23:00,2025-07-09,21:44:00,0005,T,0000-00-00,00:00:00,,,2,,0000-00-00,00:00:00,TAWA_RADIOTM,2025-07-09,23:00:02
600,226639,0000000067,2010097177,2,2025-07-09,12:15:00,,C,2025-07-07,22:36:00,TASA_PORTAL,2025-07-09,18:02:04,TAWA_RADIOTP,2025-07-07,22:35:00,2025-07-09,17:17:00,0015,T,0000-00-00,00:00:00,,,2,,0000-00-00,00:00:00,TAWA_RADIOTP,2025-07-09,18:01:50
600,226640,0000000002,2010097177,2,2025-07-08,17:55:00,,C,2025-07-07,22:47:00,TASA_PORTAL,2025-07-09,00:52:26,TAWA_RADIOTP,2025-07-07,22:47:00,2025-07-09,00:28:00,0015,T,0000-00-00,00:00:00,,,2,,0000-00-00,00:00:00,TAWA_RADIOTP,2025-07-09,00:52:12
600,226641,0000000003,2010097177,2,2025-07-08,19:15:00,,C,2025-07-07,23:34:00,TASA_PORTAL,2025-07-09,07:18:03,FCARRILLO,2025-07-07,23:32:00,2025-07-09,06:43:00,0015,T,0000-00-00,00:00:00,,,2,,0000-00-00,00:00:00,FCARRILLO,2025-07-09,07:17:48
600,226674,0000004536,2060184409,2,2025-07-08,16:00:00,,C,2025-07-08,01:57:00,TAWA_RADIOTP,2025-07-08,19:27:05,TASA_PORTAL,2025-07-08,01:45:00,2025-07-08,19:27:05,0015,T,0000-00-00,00:00:00,,,2,,0000-00-00,00:00:00,TAWA_RADIOTP,2025-07-08,17:27:39
600,226673,0000004611,0000018747,2,2025-07-08,16:30:00,,C,2025-07-08,01:56:00,TAWA_RADIOTM,2025-07-08,22:07:05,TASA_PORTAL,2025-07-08,00:07:00,2025-07-08,22:07:05,0005,T,0000-00-00,00:00:00,,,2,,0000-00-00,00:00:00,TAWA_RADIOTM,2025-07-08,19:44:38
