WORKORDERID,CHANGEDATE,SITEID,PARENT,TASKID,WONUM,DESCRIPTION,ESTDUR,SLXACTDUR,SLXAVANCE,STATUS,SLXALMACEN,SLXFECHAREQ,VENDOR,TARGSTARTDATE,TARGCOMPDATE,SCHEDSTART,SCHEDFINISH,ACTSTART,ACTFINISH,HASLABOR,HASMATERIAL,HASSERVICE,created_by,created_date,last_updated_by,last_updated_date,attribute1,attribute2,attribute3,attribute4,attribute5,SLXSCHEDDUR
693028,2025-12-20T17:43:54.036Z,PESCA,758233,10,758234,ALTERNADOR DEFECTUOSO DE 24 V-251217073549/T315,0,0,100,COMP,TCHI,2025-12-17T07:35:00.000Z,2054799624,2025-12-17T07:35:00.000Z,2025-12-20T17:43:53.343Z,2025-12-17T07:35:00.000Z,2025-12-20T17:43:53.343Z,2025-12-20T17:43:53.343Z,2025-12-20T17:43:53.343Z,0,0,1,,,,,,,,,,0
692601,2025-12-20T17:40:55.396Z,PESCA,757806,10,757807,Suministro de pasador para mandos hidráulicos de la consola ppal-251216130955/T042,0,0,100,COMP,TCHI,2025-12-16T09:09:00.000Z,,2025-12-16T09:09:00.000Z,2025-12-20T17:40:54.716Z,2025-12-16T09:09:00.000Z,2025-12-20T17:40:54.716Z,2025-12-20T17:40:54.716Z,2025-12-20T17:40:54.716Z,0,0,0,,,,,,,,,,0
692583,2025-12-20T17:38:40.973Z,PESCA,757788,10,757789,Goteo de refrigerante altura de la bomba de agua.-251216121418/T427,0,0,100,COMP,TCHI,2025-12-16T12:14:00.000Z,2010080398,2025-12-16T12:14:00.000Z,2025-12-20T17:38:39.936Z,2025-12-16T12:14:00.000Z,2025-12-20T17:38:39.936Z,2025-12-20T17:38:39.936Z,2025-12-20T17:38:39.936Z,0,0,1,,,,,,,,,,0
694687,2025-12-20T17:24:15.956Z,PESCA,759892,10,759893,TASA 55 PED DE ORING P/DEOLUCIÓN HAYDUK,0,0,0,WAPPR,TCHI,2025-12-25T09:00:00.000Z,,2025-12-08T09:00:00.000Z,,,,,,0,1,0,,,,,,,,,,0
691851,2025-12-20T17:22:06.966Z,PESCA,757056,10,757057,cambio de 02 rodillos del equipo Jumbo 740-251216054448/T056,0,0,100,WAPPR,TCHI,2025-12-16T05:44:00.000Z,2045723011,2025-12-16T05:44:00.000Z,,,,,,0,0,1,,,,,,,,,,0
685876,2025-12-20T17:10:28.213Z,PLANTA,751081,20,751083,TCHI.Reductor.Enfriador#1.Desgas.Hierro.silicio(ACEITES),0,0,100,APPR,TCHI,2025-12-20T14:09:04.000Z,,2025-11-27T14:09:04.000Z,,2025-11-27T14:09:04.000Z,,,,0,0,0,,,,,,,,,,0
685875,2025-12-20T17:10:27.883Z,PLANTA,751081,10,751082,TCHI.Reductor.Enfriador#1.Desgas.mecanico.severo.US-VA Baja Veloc,0,0,100,APPR,TCHI,2025-12-20T14:09:04.000Z,,2025-11-27T14:09:04.000Z,,2025-11-27T14:09:04.000Z,,,,0,1,0,,,,,,,,,,0
694681,2025-12-20T16:54:56.556Z,PESCA,759886,10,759887,Auxiliar  03: Requerimiento de 05 gal de ancol 4700..para rrelleno-251220161151/T054,0,0,0,APPR,TCNO,2025-12-27T16:11:00.000Z,,2025-12-19T16:11:00.000Z,,2025-12-19T16:11:00.000Z,,,,0,1,0,,,,,,,,,,0
694675,2025-12-20T16:54:55.713Z,PESCA,759880,10,759881,T54 PED MAT 20-12,0,0,0,APPR,TCNO,2025-12-27T00:00:00.000Z,,2025-12-27T00:00:00.000Z,2025-12-27T00:00:00.000Z,2025-12-27T00:00:00.000Z,2025-12-27T00:00:00.000Z,,,0,1,0,,,,,,,,,,0
694683,2025-12-20T16:27:33.563Z,PESCA,759888,10,759889,sonar lateral SN90 no carga el sistema -251220162442/T425,0,0,0,WAPPR,,2025-12-20T16:24:00.000Z,,2025-12-20T16:24:00.000Z,,,,,,0,0,0,,,,,,,,,,0
694679,2025-12-20T16:13:01.720Z,PESCA,759884,10,759885,"VAR 1 2026 FILTROS ESCAMADORES DE LAS 3 LINEAS RSW, Requieren cambio-251220155847/T059",0,0,0,WAPPR,,2025-12-20T15:58:00.000Z,,2025-12-20T15:58:00.000Z,,,,,,0,0,0,,,,,,,,,,0
