WORKORDERID,CHANGEDATE,SITEID,WONUM,DESCRIPTION,LOCATION,LOCDESC,SLXPESO,ASSETNUM,ASSETDESC,PARENT,STATUS,SLXCENTROOPER,WORKTYPE,SLXSUBTIPO,SLXTEMPORADA,SLXLOCCLASIF,SLXFAILGROUP,SLXFAILPROB,SLXFAILCAUSE,SLXFAILITEM,ISTASK,SLXESREG,SLXBLACKOUT,SLXODMNUM,SLXPDNUM,JPNUM,PMNUM,ASSETLOCPRIORITY,WOPRIORITY,SLXREPERCUSION,TARGSTARTDATE,TARGCOMPDATE,SCHEDSTART,SCHEDFINISH,ACTSTART,ACTFINISH,ESTDUR,SLXACTDUR,SLXALMACEN,SLXELEMENTOPEP,SLXCONTROLPEP,SLXTIPOIMPUTACION,SLXCUENTACONTABLE,SLXCENTROCOSTO,SLXOBRAENCURSO,REPORTEDBY,REPORTDATE,SUPERVISOR,LEAD,created_by,created_date,last_updated_by,last_updated_date,attribute1,attribute2,attribute3,attribute4,attribute5
684826,2025-12-20T22:36:40.276Z,PESCA,750033,T411.Regularizacion.Analisis.Filtrografia,TF01411-0301,Motor Principal,0,400030474,MOTOR DIESEL 1207 HP @ 1200 RPM,,APPR,T411,MPD,MPDA,CHIN2,03,,,,,0,1,0,,,,,1,1,0,2025-11-15T13:32:20.000Z,,,,,,0,0,,F2A25/04-T411-EPPR07MCCO,F2A25/04-T411-EPPR,CEC,,3023120011,,CTAIPE,2025-11-24T13:32:19.906Z,VIHUAMAN,,,,,,,,,,
664628,2025-12-20T22:36:36.096Z,PESCA,730271,T411.Serv.Logistico.Aceites.Dic25-Ene26,TF01411-03,MOTOR PRINCIPAL Y CAJA,0,,,,APPR,T411,MPD,MON,CHIN2,03,,,,,0,0,0,,,,,1,1,0,2025-11-21T00:00:00.000Z,,,,,,0,0,,F2A25/04-T411-EPPR07MCCO,F2A25/04-T411-EPPR,CEC,,3023120011,,CTAIPE,2025-08-19T16:08:16.530Z,VIHUAMAN,,,,,,,,,,
686878,2025-12-20T22:35:45.290Z,PESCA,752085,RMH1.Serv.Diagnostico.Aceites-Refrig.Dic.2025,TF0401-1003,MOTOR PRINCIPAL Y CAJA,0,,,,APPR,RMH1,MPD,MON,CHIN2,03,,,,,0,0,0,,,,,0,1,0,2025-12-31T00:00:00.000Z,,,,,,0,0,,F0a25/04-RMH1-RMPR07MCCO,F0a25/04-RMH1-RMPR,CEC,,3023310006,,CTAIPE,2025-11-30T23:37:03.476Z,RBALTODANO,,,,,,,,,,
686844,2025-12-20T22:35:41.540Z,PESCA,752051,T424.Serv.Diagnostico.Aceites-Refrig.Dic.2025,TF01424-03,MOTOR PRINCIPAL Y CAJA,0,,,,APPR,T424,MPD,MON,CHIN2,03,,,,,0,0,0,,,,,1,1,0,2025-12-31T00:00:00.000Z,,,,,,0,0,,F3A25/04-T424-EPPR07MCCO,F3A25/04-T424-EPPR,CEC,,3023130012,,CTAIPE,2025-11-30T23:36:43.413Z,RBALTODANO,,,,,,,,,,
686818,2025-12-20T22:35:37.876Z,PESCA,752025,T036.Serv.Diagnostico.Aceites-Refrig.Dic.2025,TF01036-03,MOTOR PRINCIPAL Y CAJA,0,,,,APPR,T036,MPD,MON,CHIN2,03,,,,,0,0,0,,,,,3,1,0,2025-12-31T00:00:00.000Z,,,,,,0,0,,F3A25/04-T036-EPPR07MCCO,F3A25/04-T036-EPPR,CEC,,3023130002,,CTAIPE,2025-11-30T23:36:27.513Z,RBALTODANO,,,,,,,,,,
686810,2025-12-20T22:35:30.173Z,PESCA,752017,T314.Serv.Diagnostico.Aceites-Refrig.Dic.2025,TF01314-03,MOTOR PRINCIPAL Y CAJA,0,,,,COMP,T314,MPD,MON,CHIN2,03,,,,,0,0,0,,,,,0,1,0,2025-12-31T00:00:00.000Z,,,,2025-12-19T14:36:23.006Z,2025-12-19T14:36:23.006Z,0,0,,F1A25/04-T314-EPPR07MCCO,F1A25/04-T314-EPPR,CEC,,3023110006,,CTAIPE,2025-11-30T23:36:22.666Z,RBALTODANO,,,,,,,,,,
686778,2025-12-20T22:35:25.956Z,PESCA,751985,RMH1.Serv.Lab.Aceites.SGS.Dic.2025,TF0401-1003,MOTOR PRINCIPAL Y CAJA,0,,,,APPR,RMH1,MPD,MON,CHIN2,03,,,,,0,0,0,,,,,0,1,0,2025-12-31T00:00:00.000Z,,,,,,0,0,,F0a25/04-RMH1-RMPR07MCCO,F0a25/04-RMH1-RMPR,CEC,,3023310006,,CTAIPE,2025-11-30T22:20:34.233Z,RBALTODANO,,,,,,,,,,
686884,2025-12-20T22:34:35.940Z,PESCA,752091,RMH5.Serv.Diagnostico.Aceites-Refrig.Dic.2025,TF0401-1103,MOTOR PRINCIPAL Y CAJA,0,300010410,MOTOR DIESEL 450 HP 1800 RPM,,APPR,RMH5,MPD,MON,CHIN2,03,,,,,0,0,0,,,,,1,1,0,2025-12-31T00:00:00.000Z,,,,,,0,0,,F0a25/04-RMH5-RMPR07MCCO,F0a25/04-RMH5-RMPR,CEC,,3023310007,,CTAIPE,2025-11-30T23:37:06.970Z,NCOLLAZOS,,,,,,,,,,
686882,2025-12-20T22:33:23.206Z,PESCA,752089,RMH4.Serv.Diagnostico.Aceites-Refrig.Dic.2025,TF0401-0403,MOTOR PRINCIPAL Y CAJA,0,,,,COMP,RMH4,MPD,MON,CHIN2,03,,,,,0,0,0,,,,,0,1,0,2025-12-31T00:00:00.000Z,,,,2025-12-16T15:47:24.713Z,2025-12-16T15:47:24.713Z,0,0,,F0a25/04-RMH4-RMPR07MCCO,F0a25/04-RMH4-RMPR,CEC,,3023310003,,CTAIPE,2025-11-30T23:37:05.806Z,JPAZ,,,,,,,,,,
686872,2025-12-20T22:33:19.413Z,PESCA,752079,T059.Serv.Diagnostico.Aceites-Refrig.Dic.2025,TF01059-03,MOTOR PRINCIPAL Y CAJA,0,,,,APPR,T059,MPD,MON,CHIN2,03,,,,,0,0,0,,,,,0,1,0,2025-12-31T00:00:00.000Z,,,,,,0,0,,F4A25/04-T059-EPPR07MCCO,F4A25/04-T059-EPPR,CEC,,3023140006,,CTAIPE,2025-11-30T23:36:59.883Z,JPAZ,,,,,,,,,,
